#Parameters = {R=2398; a=150; b=1199; c=300000000000; f=1000000000; lwg=600; t=75; tt=30; wl=300}
#"Y / mm"	"e-field (f=1.6) (1)_Z (Y)_1"
#--------------------------------------
609.41791044776	-100.08267824230
614.76368159204	-102.84964613335
620.10945273632	-105.49051756216
625.45522388060	-108.26914777836
630.80099502488	-111.17526034047
636.14676616915	-114.19422696734
641.49253731343	-117.11084503388
646.83830845771	-119.73922482728
652.18407960199	-122.36444848784
657.52985074627	-125.09985812544
662.87562189055	-127.95318808574
668.22139303483	-130.93171687689
673.56716417910	-134.04186803040
678.91293532338	-137.17403206963
684.25870646766	-140.36640595834
689.60447761194	-143.72258671073
694.95024875622	-147.23295528824
700.29601990050	-150.62776764256
705.64179104478	-153.82859407129
710.98756218905	-157.06011984819
716.33333333333	-160.16598434428
721.67910447761	-163.24895690225
727.02487562189	-166.36731003958
732.37064676617	-169.51780703464
737.71641791045	-172.69810799554
743.06218905473	-175.90681457467
748.40796019900	-179.11020111103
753.75373134328	177.42758595157
759.09950248756	173.82863274279
764.44527363184	170.09856319598
769.79104477612	166.24571828402
775.13681592040	162.51538162085
780.48258706468	159.09470767228
785.82835820896	155.63356160194
791.17412935323	151.52230656390
796.51990049751	147.19628727301
801.86567164179	142.66253624069
807.21144278607	138.08437957498
812.55721393035	133.83889372540
817.90298507463	129.58204043482
823.24875621891	125.38106480651
828.59452736318	121.34537709808
833.94029850746	117.50716786633
839.28606965174	113.86907678045
844.63184079602	110.19188047302
849.97761194030	106.42111244340
855.32338308458	102.53276043468
860.66915422886	98.499475668189
866.01492537313	94.478892059341
871.36069651741	90.432529854589
876.70646766169	86.087506058580
882.05223880597	81.372458923569
887.39800995025	76.311714261295
892.74378109453	71.394601512693
898.08955223881	66.641810199302
903.43532338308	62.058862580026
908.78109452736	57.450722807464
914.12686567164	52.769701598350
919.47263681592	47.983098366581
924.81840796020	43.028840173298
930.16417910448	38.185237170438
935.50995024876	33.203206422801
940.85572139303	28.066073548234
946.20149253731	22.789552901053
951.54726368159	17.358436323502
956.89303482587	11.898003210129
962.23880597015	5.6418180018753
967.58457711443	-0.68436840783918
972.93034825871	-6.6697140027606
978.27611940298	-11.742447862096
983.62189054726	-16.094768240663
988.96766169154	-20.653776826491
994.31343283582	-25.310194826196
999.65920398010	-30.073320176398
1005.0049751244	-35.011051289553
1010.3507462687	-40.193876281823
1015.6965174129	-45.698354256075
1021.0422885572	-51.611587272356
1026.3880597015	-58.012048613841
1031.7338308458	-64.370650205705
1037.0796019900	-70.837811715115
1042.4253731343	-77.349967458481
1047.7711442786	-83.853411529712
1053.1169154229	-90.211235540130
1058.4626865672	-96.308087574342
1063.8084577114	-102.39667837648
1069.1542288557	-108.41532156737
1074.5000000000	-114.31813326256
