#Parameters = {R=2398; a=150; b=1199; c=300000000000; f=1000000000; lwg=600; t=75; tt=30; wl=300}
#"Y / mm"	"e-field (f=1.6) (1)_Z (Y)"
#------------------------------------
-566.65174129353	8.5503721237183
-561.30597014925	10.455297470093
-555.96019900498	12.404289245605
-550.61442786070	14.361526489258
-545.26865671642	16.327011108398
-539.92288557214	18.300743103027
-534.57711442786	20.282745361328
-529.23134328358	22.391225814819
-523.88557213930	24.857021331787
-518.53980099502	27.103328704834
-513.19402985075	29.239339828491
-507.84825870647	31.363277435303
-502.50248756219	33.475124359131
-497.15671641791	35.585777282715
-491.81094527363	37.820766448975
-486.46517412935	40.124740600586
-481.11940298507	42.462135314941
-475.77363184080	44.538574218750
-470.42786069652	46.360923767090
-465.08208955224	48.173957824707
-459.73631840796	50.081279754639
-454.39054726368	52.082901000977
-449.04477611940	54.178791046143
-443.69900497512	56.368957519531
-438.35323383085	58.512012481689
-433.00746268657	60.687602996826
-427.66169154229	63.028934478760
-422.31592039801	65.535987854004
-416.97014925373	67.508239746094
-411.62437810945	68.939002990723
-406.27860696517	70.272300720215
-400.93283582090	71.508102416992
-395.58706467662	72.730728149414
-390.24129353234	74.861251831055
-384.89552238806	76.939537048340
-379.54975124378	78.965568542480
-374.20398009950	80.939346313477
-368.85820895522	82.860870361328
-363.51243781095	84.730148315430
-358.16666666667	86.958740234375
-352.82089552239	89.438049316406
-347.47512437811	91.011291503906
-342.12935323383	92.397232055664
-336.78358208955	93.841766357422
-331.43781094527	95.344879150391
-326.09203980100	96.906562805176
-320.74626865672	98.469749450684
-315.40049751244	99.223846435547
-310.05472636816	100.01728820801
-304.70895522388	100.86695098877
-299.36318407960	101.93687438965
-294.01741293532	103.61103820801
-288.67164179104	105.47529602051
-283.32587064677	106.88336181641
-277.98009950249	107.63983917236
-272.63432835821	108.48776245117
-267.28855721393	109.42705535889
-261.94278606965	110.45780944824
-256.59701492537	111.57995605469
-251.25124378109	112.77804565430
-245.90547263682	112.83719635010
-240.55970149254	113.34654235840
-235.21393034826	114.25409698486
-229.86815920398	115.41449737549
-224.52238805970	116.82772827148
-219.17661691542	118.49385833740
-213.83084577114	118.71521759033
-208.48507462687	118.20167541504
-203.13930348259	118.03428649902
-197.79353233831	118.21307373047
-192.44776119403	118.73800659180
-187.10199004975	119.60910034180
-181.75621890547	120.80194091797
-176.41044776119	120.66558837891
-171.06467661692	120.56820678711
-165.71890547264	120.51284790039
-160.37313432836	120.49949645996
-155.02736318408	121.46249389648
-149.68159203980	122.47476959229
-144.33582089552	123.45223999023
-138.99004975124	124.39493560791
-133.64427860697	125.28274536133
-128.29850746269	124.71783447266
-122.95273631841	124.04319763184
-117.60696517413	123.58130645752
-112.26119402985	123.33209228516
-106.91542288557	123.29562377930
-101.56965174129	123.47189331055
-96.223880597015	123.86086273193
-90.878109452736	124.34291076660
-85.532338308458	124.68849945068
-80.186567164179	125.11425781250
-74.840796019900	125.53851318359
-69.495024875622	125.96119689941
-64.149253731343	126.38235473633
-58.803482587065	126.80198669434
-53.457711442786	127.12628173828
-48.111940298508	127.42144775391
-42.766169154229	127.69189453125
-37.420398009950	127.93760681152
-32.074626865672	127.81307983398
-26.728855721393	127.44105529785
-21.383084577114	127.05413818359
-16.037313432836	126.78309631348
-10.691542288557	126.62791442871
-5.3457711442786	126.58862304688
0.00000000000000	126.66517639160
5.3457711442786	126.85761260986
10.691542288557	127.28782653809
16.037313432836	127.79711151123
21.383084577114	128.17204284668
26.728855721393	127.55191802979
32.074626865672	127.20021057129
37.420398009950	127.18785095215
42.766169154229	127.41754913330
48.111940298508	127.88926696777
53.457711442786	128.24145507813
58.803482587065	128.45759582520
64.149253731343	128.80895996094
69.495024875622	128.13600158691
74.840796019900	126.82847595215
80.186567164179	125.77388763428
85.532338308458	124.97222137451
90.878109452736	125.05344390869
96.223880597015	125.47674560547
101.56965174129	125.91664123535
106.91542288557	126.37316131592
112.26119402985	126.56299591064
117.60696517413	125.18249511719
122.95273631841	123.94026947021
128.29850746269	124.26667022705
133.64427860697	124.60205078125
138.99004975124	124.93981170654
144.33582089552	123.19585418701
149.68159203980	121.52682495117
155.02736318408	119.93269348145
160.37313432836	119.93804168701
165.71890547264	120.72280883789
171.06467661692	121.20413208008
176.41044776119	120.06604766846
181.75621890547	118.56662750244
187.10199004975	116.81167602539
192.44776119403	116.33873748779
197.79353233831	116.30841827393
203.13930348259	116.18146514893
208.48507462687	115.95793151855
213.83084577114	115.63778686523
219.17661691542	115.44620513916
224.52238805970	115.61116790771
229.86815920398	115.84492492676
235.21393034826	114.98240661621
240.55970149254	114.28525543213
245.90547263682	113.74826812744
251.25124378109	113.37144470215
256.59701492537	113.15475463867
261.94278606965	113.09822082520
267.28855721393	113.20005798340
272.63432835821	111.04171752930
277.98009950249	109.10817718506
283.32587064677	107.35975646973
288.67164179104	105.79644775391
294.01741293532	104.41824340820
299.36318407960	103.22515106201
304.70895522388	102.21718597412
310.05472636816	101.39118194580
315.40049751244	100.83769226074
320.74626865672	99.209289550781
326.09203980100	97.419700622559
331.43781094527	95.612213134766
336.78358208955	93.786834716797
342.12935323383	91.943542480469
347.47512437811	90.397262573242
352.82089552239	89.539131164551
358.16666666667	88.786331176758
363.51243781095	87.701660156250
368.85820895522	85.092887878418
374.20398009950	82.695480346680
379.54975124378	80.427177429199
384.89552238806	78.288055419922
390.24129353234	76.278068542480
395.58706467662	74.298027038574
400.93283582090	71.833084106445
406.27860696517	69.600547790527
411.62437810945	67.260162353516
416.97014925373	64.542266845703
422.31592039801	61.774642944336
427.66169154229	59.082435607910
433.00746268657	57.423862457275
438.35323383085	55.727649688721
443.69900497512	54.043891906738
449.04477611940	51.765548706055
454.39054726368	49.623863220215
459.73631840796	47.560268402100
465.08208955224	45.574790954590
470.42786069652	43.667404174805
475.77363184080	41.627811431885
481.11940298507	39.634040832520
486.46517412935	37.802589416504
491.81094527363	35.960399627686
497.15671641791	34.103183746338
502.50248756219	32.230949401855
507.84825870647	30.343727111816
513.19402985075	28.362642288208
518.53980099502	26.230211257935
523.88557213930	24.186340332031
529.23134328358	22.230998992920
534.57711442786	20.364208221436
539.92288557214	18.585950851440
545.26865671642	16.727920532227
550.61442786070	14.583752632141
555.96019900498	12.453417778015
561.30597014925	10.338847160339
566.65174129353	8.3293867111206
571.99751243781	6.1881513595581
577.34328358209	4.1193833351135
582.68905472637	2.1498403549194
588.03482587065	0.36041355133057
593.38059701493	-1.1916236877441
598.72636815920	-2.8207352161407
604.07213930348	-4.6947503089905
609.41791044776	-6.4655790328979
614.76368159204	-8.0291414260864
620.10945273632	-9.3867025375366
625.45522388060	-10.751199722290
630.80099502488	-12.122648239136
636.14676616915	-13.501013755798
641.49253731343	-14.740031242371
646.83830845771	-15.712474822998
652.18407960199	-16.590484619141
657.52985074627	-17.440040588379
662.87562189055	-18.261140823364
668.22139303483	-19.053783416748
673.56716417910	-19.817964553833
678.91293532338	-20.228668212891
684.25870646766	-20.330768585205
689.60447761194	-20.412811279297
694.95024875622	-20.474794387817
700.29601990050	-20.624523162842
705.64179104478	-20.835166931152
710.98756218905	-20.992679595947
716.33333333333	-20.905879974365
721.67910447761	-20.702419281006
727.02487562189	-20.458286285400
732.37064676617	-20.173490524292
737.71641791045	-19.848031997681
743.06218905473	-19.481906890869
748.40796019900	-18.901052474976
753.75373134328	-18.217847824097
759.09950248756	-17.522382736206
764.44527363184	-16.814641952515
769.79104477612	-16.094638824463
775.13681592040	-15.341557502747
780.48258706468	-14.566858291626
785.82835820896	-13.813425064087
791.17412935323	-13.068102836609
796.51990049751	-12.283556938171
801.86567164179	-11.459787368774
807.21144278607	-10.523236274719
812.55721393035	-9.4488134384155
817.90298507463	-8.4432926177979
823.24875621891	-7.4938449859619
828.59452736318	-6.5980453491211
833.94029850746	-5.7558908462524
839.28606965174	-4.9536318778992
844.63184079602	-4.1155805587769
849.97761194030	-3.2809824943542
855.32338308458	-2.4498419761658
860.66915422886	-1.6221565008163
866.01492537313	-0.83632475137711
871.36069651741	-0.079128086566925
876.70646766169	0.69888174533844
882.05223880597	1.5002810955048
887.39800995025	2.2889280319214
892.74378109453	2.9811124801636
898.08955223881	3.5868251323700
903.43532338308	4.1594395637512
908.78109452736	4.7109665870667
914.12686567164	5.2282605171204
919.47263681592	5.7035255432129
924.81840796020	6.0629816055298
930.16417910448	6.3205823898315
935.50995024876	6.5520534515381
940.85572139303	6.7458753585815
946.20149253731	6.8937668800354
951.54726368159	6.9957275390625
956.89303482587	7.0508871078491
962.23880597015	6.9302029609680
967.58457711443	6.7753505706787
972.93034825871	6.6019191741943
978.27611940298	6.4308900833130
983.62189054726	6.2444334030151
988.96766169154	6.0011377334595
994.31343283582	5.6757173538208
999.65920398010	5.3066186904907
1005.0049751244	4.8958454132080
1010.3507462687	4.4434070587158
1015.6965174129	3.9492998123169
1021.0422885572	3.4129343032837
1026.3880597015	2.8069913387299
1031.7338308458	2.1859560012817
1037.0796019900	1.5923359394073
1042.4253731343	1.0261063575745
1047.7711442786	0.48729276657104
1053.1169154229	-0.016303490847349
1058.4626865672	-0.46932739019394
1063.8084577114	-0.89145863056183
1069.1542288557	-1.2826780080795
1074.5000000000	-1.6430042982101
